Name,Location,City,P.O Box,Phone,Mobile,Company page link,Logo url
Brunello,"Kempenski Hotel, The Palm","Dubai, UAE",N/A,+97144442501,N/A,https://www.yellowpages-uae.com/brunello-175808.html,N/A
Brunswick Sports Club,Mall Of The Emirates,"Dubai, UAE",N/A,+971564040685,N/A,https://www.yellowpages-uae.com/brunswick-sports-club-175809.html,N/A
BU American Restaurant,"World Trade Centre Mall, Airport Road","Abu Dhabi, UAE",N/A,+97126668066,N/A,https://www.yellowpages-uae.com/bu-american-restaurant-175680.html,N/A
Bu Qtair,Jumeirah Beach Road,"Dubai, UAE",N/A,+971557052130,N/A,https://www.yellowpages-uae.com/bu-qtair-175748.html,N/A
Bundoo Khan,Al Futtaim Rd,"Dubai, UAE",N/A,+97142336333,N/A,https://www.yellowpages-uae.com/bundoo-khan-143128.html,N/A
Bur Al Hickman Hospitality,N/A,"Dubai, UAE",49463,+97143808848,N/A,https://www.yellowpages-uae.com/bur-al-hickman-hospitality-152102.html,N/A
Burger & Lobster,DIFC,"Dubai, UAE",N/A,+97145148838,N/A,https://www.yellowpages-uae.com/burger-lobster-175810.html,N/A
Burger Joint New York,City Walk,"Dubai, UAE",N/A,+97143444459,N/A,https://www.yellowpages-uae.com/burger-joint-new-york-175749.html,N/A
Burj Al Khan Restaurant,Al Khan,"Sharjah, UAE",N/A,+97165546422,N/A,https://www.yellowpages-uae.com/burj-al-khan-restaurant-148180.html,N/A
Bushmans,The Palm,"Dubai, UAE",N/A,+97145678304,N/A,https://www.yellowpages-uae.com/bushmans-175811.html,N/A
Bussola,"Western Mina Seyahi, Al Soufouh Rd, Dubai Marina","Dubai, UAE",N/A,+97143994141,N/A,https://www.yellowpages-uae.com/bussola-175644.html,N/A
Butcher & Still,"Four Seasons, Al Maryah","Abu Dhabi, UAE",N/A,+97123332700,N/A,https://www.yellowpages-uae.com/butcher-still-175681.html,N/A
Cactus Jacks,"Millenium Airport Road Hotel, Al Garhoud","Dubai, UAE",N/A,+97147028844,N/A,https://www.yellowpages-uae.com/cactus-jacks-175638.html,N/A
Caesar Garden Restaurant,Near Al Wahda Post Office,"Sharjah, UAE",N/A,+97165594140,+971502813466,https://www.yellowpages-uae.com/caesar-garden-restaurant-147328.html,N/A
Caesar's Restaurant and Confectionery,"Opp Choithram S/Market, Electra St","Abu Dhabi, UAE",44514,+97126787244,+971565373990,https://www.yellowpages-uae.com/caesar-s-restaurant-and-confectionery-107719.html,N/A
Caf Barbera,"Al Salam Tower, Dubai Media City","Dubai, UAE",N/A,+97144468616,N/A,https://www.yellowpages-uae.com/caf-barbera-102752.html,N/A
Cafe,"The Walk, Jumeirah Beach Residence, JBR","Dubai, UAE",N/A,+97144281551,N/A,https://www.yellowpages-uae.com/caf--145303.html,N/A
Cafe Arabesque,"Park Hyatt, Deira","Dubai, UAE",N/A,+97143172222,N/A,https://www.yellowpages-uae.com/cafe-arabesque-175641.html,N/A
Cafe Arabia,N/A,"Abu Dhabi, UAE",N/A,+97126439699,N/A,https://www.yellowpages-uae.com/cafe-arabia-175636.html,N/A
Cafe Belge,Ritz Carlton. DIFC,"Dubai, UAE",N/A,+97143722323,N/A,https://www.yellowpages-uae.com/cafe-belge-175812.html,N/A
Cafe Berlin Restaurant,"Grand Cinema Bldg, Al Buhaira Corniche","Sharjah, UAE",N/A,+97165564564,N/A,https://www.yellowpages-uae.com/cafe-berlin-restaurant-146792.html,N/A
Cafe D Alsace,Yas Marina,"Abu Dhabi, UAE",N/A,+97124963412,N/A,https://www.yellowpages-uae.com/cafe-d-alsace-168557.html,N/A
Cafe Diego,Al Khubeirah,"Abu Dhabi, UAE",N/A,+97126772344,N/A,https://www.yellowpages-uae.com/cafe-diego-175682.html,N/A
Cafe Du Roi LLC,TCA,"Abu Dhabi, UAE",25024,+97126816367,N/A,https://www.yellowpages-uae.com/cafe-du-roi-llc-147167.html,N/A
Cafe Julie,JLT,"Dubai, UAE",N/A,+97143649477,N/A,https://www.yellowpages-uae.com/cafe-julie-147105.html,N/A
Cafe Nikki,Pearl Jumeirah,"Dubai, UAE",N/A,+97143766000,N/A,https://www.yellowpages-uae.com/cafe-nikki-175813.html,N/A
Caliburger,Shk Zayed Road,"Dubai, UAE",N/A,+97100 2254,N/A,https://www.yellowpages-uae.com/caliburger-175556.html,N/A
Calicut Town Restaurant,"Al Najoom Bldg, Bhnd DNATA, Port Saeed, Deira","Dubai, UAE",N/A,+97142698862,+971558803166,https://www.yellowpages-uae.com/calicut-town-restaurant-175332.html,N/A
Can Can Brasserie,"Ritz Carlton, DIFC","Dubai, UAE",N/A,+97143722222,N/A,https://www.yellowpages-uae.com/can-can-brasserie-175814.html,N/A
Canopy Restaurant,Hamdan St,"Abu Dhabi, UAE",38541,+97126788036,N/A,https://www.yellowpages-uae.com/canopy-restaurant-141445.html,N/A
Cantina Laredo,"Khalidiya Mall, Khalidiya Street","Abu Dhabi, UAE",N/A,+97100 561112,N/A,https://www.yellowpages-uae.com/cantina-laredo-175633.html,N/A
Canton Restaurant,N/A,"Sharjah, UAE",N/A,+97165676310,+971508888317,https://www.yellowpages-uae.com/canton-restaurant-68558.html,N/A
Capitol Hotel,"Al Mina Rd, Satwa","Dubai, UAE",33228,+97143460111,N/A,https://www.yellowpages-uae.com/capitol-hotel-119224.html,N/A
Captain Pastry,TCA,"Abu Dhabi, UAE",N/A,+97124452995,+971566678194,https://www.yellowpages-uae.com/captain-pastry-175589.html,N/A
Caramel Restaurant & Lounge,Saadiyat Island,"Abu Dhabi, UAE",N/A,+97126783344,N/A,https://www.yellowpages-uae.com/caramel-restaurant-lounge-175683.html,N/A
Caravan Restaurant,Electra St,"Abu Dhabi, UAE",42757,+97126393370,N/A,https://www.yellowpages-uae.com/caravan-restaurant-110377.html,N/A
Caribou Coffee,Dubai Mall LG,"Dubai, UAE",N/A,+97143399212,N/A,https://www.yellowpages-uae.com/caribou-coffee-106902.html,N/A
Caribou Coffee,Garhoud,"Dubai, UAE",N/A,+97142833577,N/A,https://www.yellowpages-uae.com/caribou-coffee-147113.html,N/A
Carlton Tower Hotel,"Creek Side, Baniyas St, Deira","Dubai, UAE",1955,+97142227111,N/A,https://www.yellowpages-uae.com/carlton-tower-hotel-120188.html,N/A
Carnival By Tresind,"Burj Daman Building, DIFC","Dubai, UAE",N/A,+97144218665,N/A,https://www.yellowpages-uae.com/carnival-by-tresind-175815.html,N/A
Casa De Tapas,Dubai Creek Golf,"Dubai, UAE",N/A,+97144161800,N/A,https://www.yellowpages-uae.com/casa-de-tapas-175816.html,N/A
Castlerock Restaurant,Hamdan St,"Abu Dhabi, UAE",55217,+97126348345,N/A,https://www.yellowpages-uae.com/castlerock-restaurant-115016.html,N/A
Catch Restaurant & Lounge,"Restaurant Unit 2, Nation Riviera, Nation Towers","Abu Dhabi, UAE",N/A,+97126110909,N/A,https://www.yellowpages-uae.com/catch-restaurant-lounge-168556.html,N/A
Cavalli Club,"Farimont Hotel, Shk Zayed Road","Dubai, UAE",N/A,+97143329260,N/A,https://www.yellowpages-uae.com/cavalli-club-175817.html,N/A
Cedar Lounge,Farimont Bab Al bahr,"Abu Dhabi, UAE",N/A,+97126543223,N/A,https://www.yellowpages-uae.com/cedar-lounge-175684.html,N/A
Cettinad Restaurant,Next to Abu Dhabi Flour Mill,"Abu Dhabi, UAE",105777,+97126777699,N/A,https://www.yellowpages-uae.com/cettinad-restaurant-122707.html,N/A
Ceviche,"Emirates Financial Towers, DIFC","Dubai, UAE",N/A,+97143266333,N/A,https://www.yellowpages-uae.com/ceviche-175819.html,N/A
Cha Cha Chai,"Amna Bldg, Near IT Plaza","Dubai, UAE",N/A,+97143263261,+971504453487,https://www.yellowpages-uae.com/cha-cha-chai-175239.html,N/A
Chaanakyas Restaurant LLLC,"Food Court, Al Khail Mall, Al Quoz","Dubai, UAE",N/A,+97143306066,N/A,https://www.yellowpages-uae.com/chaanakyas-restaurant-lllc-102754.html,N/A
Chaavadi Restaurant,"ESBIJ Street, Behind Emirates Islamic Bank, Opp. Royal Ascot Hotel","Dubai, UAE",N/A,+97143595057,+971558780083,https://www.yellowpages-uae.com/chaavadi-restaurant-175311.html,N/A
Chai Chat,N/A,"Dubai, UAE",N/A,+97143412331,+971506605689,https://www.yellowpages-uae.com/chai-chat-175366.html,N/A
Chamas,"Ground floor, Intercontinental Hotel, Bainuna Street","Abu Dhabi, UAE",N/A,+97126666888,N/A,https://www.yellowpages-uae.com/chamas-175685.html,N/A
Charleys Grilled Subs,Deira City Center,"Dubai, UAE",32674,+97143520500,N/A,https://www.yellowpages-uae.com/charleys-grilled-subs-119254.html,N/A
Chatime,Electra and Salam Intersection,"Abu Dhabi, UAE",N/A,+971501275389,N/A,https://www.yellowpages-uae.com/chatime-175529.html,N/A
Chautari Restaurant,Bur Dubai,"Dubai, UAE",242656,+97143571606,+971565080711,https://www.yellowpages-uae.com/chautari-restaurant-172962.html,N/A
Chelsea Restaurant LLC,"Yasmin Bldg, Near Cricket Stadium","Sharjah, UAE",N/A,+97165438400,N/A,https://www.yellowpages-uae.com/chelsea-restaurant-llc-151049.html,N/A
Chennai Restaurant LLC,Abu Shagara,"Sharjah, UAE",35172,+97165542288,+971553677350,https://www.yellowpages-uae.com/chennai-restaurant-llc-175214.html,N/A
Cherry Blossoms Restaurant LLC,Jebel Ali,"Jebel Ali, UAE",4511,+97148847533,N/A,https://www.yellowpages-uae.com/cherry-blossoms-restaurant-llc-149218.html,N/A
Chettinadu City Restaurant,"Near Manama Supermarket, Kalba Rd","Sharjah, UAE",N/A,+97165353596,N/A,https://www.yellowpages-uae.com/chettinadu-city-restaurant-148172.html,N/A
Chhappan Bhog Restaurant,Salam St,"Abu Dhabi, UAE",7789,+97126778864,N/A,https://www.yellowpages-uae.com/chhappan-bhog-restaurant-110354.html,N/A
Chicken Corner,"Al Zahara St, Nasseria","Sharjah, UAE",38426,+97165640070,N/A,https://www.yellowpages-uae.com/chicken-corner-148168.html,N/A
Chicken Cottage,Jumeirah,"Dubai, UAE",N/A,+97144405994,N/A,https://www.yellowpages-uae.com/chicken-cottage-146604.html,N/A
Chicken Express Restaurant LLC,"Bhnd Bank Sedarat Iran, Rolla","Sharjah, UAE",N/A,+97165686969,N/A,https://www.yellowpages-uae.com/chicken-express-restaurant-llc-151046.html,N/A
Chicken Street Cafeteria,"Behind Mashreq Bank, Electra Street","Abu Dhabi, UAE",N/A,+97126794989,+971554883399,https://www.yellowpages-uae.com/chicken-street-cafeteria-175515.html,N/A
Chicken Tikka Inn Restaurant,Near Qassimia R/A,"Sharjah, UAE",1724,+97165749822,N/A,https://www.yellowpages-uae.com/chicken-tikka-inn-restaurant-138545.html,N/A
Chicking Fried Chicken,"Century Mall, Deira","Dubai, UAE",87548,+97142967232,N/A,https://www.yellowpages-uae.com/chicking-fried-chicken-108096.html,N/A
Chik Bites Restaurant & Cafe,"Damascus St,","Dubai, UAE",N/A,+97142344994,+971525212137,https://www.yellowpages-uae.com/chik-bites-restaurant-cafe-175497.html,N/A
Chin Chin,Dubai Marina,"Dubai, UAE",N/A,+97144503543,N/A,https://www.yellowpages-uae.com/chin-chin-147396.html,N/A
China Grill,Al Sufouh,"Dubai, UAE",N/A,+97145117333,N/A,https://www.yellowpages-uae.com/china-grill-175624.html,N/A
China Park,Al Nahda,"Sharjah, UAE",N/A,+97165313900,N/A,https://www.yellowpages-uae.com/china-park-147580.html,N/A
China Wind Restaurant,"Near Classic Computers, King Faisal Rd","Sharjah, UAE",49816,+97165723052,N/A,https://www.yellowpages-uae.com/china-wind-restaurant-129364.html,N/A
China Wok Restaurant,"Opp Dubai Grand Hotel, Bhnd Sunrise S/Market","Dubai, UAE",3132,+97142631590,+971564454068,https://www.yellowpages-uae.com/china-wok-restaurant-175207.html,N/A
Chinchaaus Restaurant,"Amman St, Al Nahda 2","Dubai, UAE",N/A,+97142510011,N/A,https://www.yellowpages-uae.com/chinchaaus-restaurant-141979.html,N/A
Chinese Star Restaurant,Al Wahda,"Sharjah, UAE",N/A,+97165720898,N/A,https://www.yellowpages-uae.com/chinese-star-restaurant-146806.html,N/A
Chival,The City Walk,"Dubai, UAE",N/A,+97144033111,N/A,https://www.yellowpages-uae.com/chival-175820.html,N/A
Choice Refreshment and Grills,"Behind ADNOC, Salam Street","Abu Dhabi, UAE",N/A,+97126712151,+971508364765,https://www.yellowpages-uae.com/choice-refreshment-grills-175527.html,N/A
Choice Restaurant,Old Passport Rd,"Abu Dhabi, UAE",27207,+97126416587,N/A,https://www.yellowpages-uae.com/choice-restaurant-135169.html,N/A
Choice Restaurant,"Near Gulf Cinema, Al Nakheel","Ras Al Khaimah, UAE",4966,+97172226225,N/A,https://www.yellowpages-uae.com/choice-restaurant-116323.html,N/A
Choices,"Yas Island, Rotana Hotel","Abu Dhabi, UAE",N/A,+97126564000,N/A,https://www.yellowpages-uae.com/choices-142517.html,N/A
Chops N Hopes Restaurant,"Behind Mall Of Emirates, Barsha 1","Dubai, UAE",37201,+97143654446,+971547181805,https://www.yellowpages-uae.com/chops-n-hopes-restaurant-175602.html,N/A
Chowking,Al Nahda 2,"Dubai, UAE",N/A,+97142382837,N/A,https://www.yellowpages-uae.com/chowking-110151.html,N/A
Chowking Orient Restaurant,"G-39, Al Ghurair City, Deira","Dubai, UAE",285849,+97142288377,N/A,https://www.yellowpages-uae.com/chowking-orient-restaurant-142989.html,N/A
Chuck Wagon Restaurant - Pearl Hotel,Sh Rashid Palace Road,"Umm Al Quwain, UAE",887,+97167666678,N/A,https://www.yellowpages-uae.com/chuck-wagon-restaurant-pearl-hotel-15872.html,N/A
Cinema New Restaurant,"SEWA Bldg, Near Sharjah Cinema, Al Mina Rd","Sharjah, UAE",167,+97165681006,N/A,https://www.yellowpages-uae.com/cinema-new-restaurant-131468.html,N/A
Cipriani,"Gate Village 10, Building 3, DIFC","Dubai, UAE",N/A,+97143470003,N/A,https://www.yellowpages-uae.com/cipriani-175631.html,N/A
Circo,"Inter Continental, Al Bateen","Abu Dhabi, UAE",N/A,+97126666888,N/A,https://www.yellowpages-uae.com/circo-175686.html,N/A
City Burger,Bhnd Al Mariya Cinema,"Abu Dhabi, UAE",N/A,+97126716788,N/A,https://www.yellowpages-uae.com/city-burger-145579.html,N/A
City Diamond Restaurant,"Near Super Bonanza Hypermarket, Al Quoz 2","Dubai, UAE",N/A,+97143466617,N/A,https://www.yellowpages-uae.com/city-diamond-restaurant-144270.html,N/A
City Grill Restaurant,"Near Al Fahidi Souq, Street 33, Meena Bazar","Dubai, UAE",N/A,+97143529277,+971568586655,https://www.yellowpages-uae.com/city-grill-restaurant-175289.html,N/A
City House Restaurant,N/A,"Abu Dhabi, UAE",N/A,+97126343060,N/A,https://www.yellowpages-uae.com/city-house-restaurant-175505.html,N/A
City King Restaurant,"Behind Lulu Centre, Salam Street","Abu Dhabi, UAE",N/A,+97126778848,+971567033724,https://www.yellowpages-uae.com/city-king-restaurant-175550.html,N/A
City Palace Restaurant,Khalifa St,"Abu Dhabi, UAE",31912,+97126262762,N/A,https://www.yellowpages-uae.com/city-palace-restaurant-131343.html,N/A
City Restaurant,Satwa,"Dubai, UAE",N/A,+97143312380,N/A,https://www.yellowpages-uae.com/city-restaurant-103618.html,N/A
Classio Master Restaurant & Cafeteria,"Near Fahidi Metro Station, Musalla","Dubai, UAE",N/A,+97143939732,+971555115772,https://www.yellowpages-uae.com/classio-master-restaurant-cafeteria-175577.html,N/A
Claw BBQ,Downtown Dubai,"Dubai, UAE",N/A,+97144322300,N/A,https://www.yellowpages-uae.com/claw-bbq-175822.html,N/A
Cleopatra Restaurant - Ana Palace Hotel,"G Flr, Near Sabkha Bus Stn, Deira","Dubai, UAE",28490,+97142258899,N/A,https://www.yellowpages-uae.com/cleopatra-restaurant-ana-palace-hotel-62622.html,N/A
Clinton Street Baking Company,Downtown Dubai,"Dubai, UAE",N/A,+97144281331,N/A,https://www.yellowpages-uae.com/clinton-street-baking-company-175750.html,N/A
Coastal Butlers Restaurant LLC,Damascus Street,"Dubai, UAE",N/A,+97142884428,+971554468227,https://www.yellowpages-uae.com/coastal-butlers-restaurant-llc-175323.html,N/A
Coco's Restaurant,Jumeirah Beach Residence,"Dubai, UAE",32100,+97144243740,N/A,https://www.yellowpages-uae.com/coco-s-restaurant-115488.html,N/A
Colombo Restaurant,"Morejag New Mosque Rd, National Paint","Sharjah, UAE",70587,+971552912477,N/A,https://www.yellowpages-uae.com/colombo-restaurant-148170.html,N/A
Common Grounds,Dubai Marina,"Dubai, UAE",N/A,+971504781094,N/A,https://www.yellowpages-uae.com/common-grounds-175751.html,N/A
Comptoir 102,Jumeirah Beach Road,"Dubai, UAE",N/A,+97143854555,N/A,https://www.yellowpages-uae.com/comptoir-102-175752.html,N/A
Cook Hall,Al Habtoor City,"Dubai, UAE",N/A,+97144373333,N/A,https://www.yellowpages-uae.com/cook-hall-175823.html,N/A
Coopers Restaurant,"Park Rotana, Al Matar","Abu Dhabi, UAE",N/A,+97126573333,N/A,https://www.yellowpages-uae.com/coopers-restaurant-175687.html,N/A
Corner Cafe,"X2 Tower, Ground Floor","Dubai, UAE",N/A,+97144564984,+971558778176,https://www.yellowpages-uae.com/corner-cafe-175302.html,N/A
Countryside,"Fakhruddin Executive Building, International City","Dubai, UAE",N/A,+971002686879,N/A,https://www.yellowpages-uae.com/countryside-67368.html,N/A
Couqley,"Laguna Tower, JLT","Dubai, UAE",N/A,+97145149339,N/A,https://www.yellowpages-uae.com/couqley-175824.html,N/A
Coya,N/A,"Dubai, UAE",N/A,+97143169600,N/A,https://www.yellowpages-uae.com/coya-175688.html,N/A
Creek Restaurant,Al Nahda,"Sharjah, UAE",N/A,+97165365466,N/A,https://www.yellowpages-uae.com/creek-restaurant-151064.html,N/A
CuiScene,Farimont Bab Al Bahr,"Abu Dhabi, UAE",N/A,+97126543238,N/A,https://www.yellowpages-uae.com/cuiscene-175690.html,N/A
Culinary Boutique,Jumeirah 1,"Dubai, UAE",N/A,+97143450023,N/A,https://www.yellowpages-uae.com/culinary-boutique-175825.html,N/A
Curry Express,"Ramla Mall Food Court, DIP","Jebel Ali, UAE",N/A,+97148847868,N/A,https://www.yellowpages-uae.com/curry-express-147106.html,N/A
"Curry House, The",Electra St,"Abu Dhabi, UAE",44251,+97126328860,N/A,https://www.yellowpages-uae.com/curry-house-the-130534.html,N/A
Curry Leaf,"Al Mussalla Tower, Bur Dubai","Dubai, UAE",N/A,+97143978940,N/A,https://www.yellowpages-uae.com/curry-leaf-67689.html,N/A
Curry Toast,"opposite BurJuman Centre, Bur Dubai","Dubai, UAE",N/A,+97143547477,N/A,https://www.yellowpages-uae.com/curry-toast-67374.html,N/A
D Bar & Grill,Dubai World Trade Centre,"Dubai, UAE",N/A,+971507240471,N/A,https://www.yellowpages-uae.com/d-bar-grill-175826.html,N/A
Dai Pai Dong,N/A,"Abu Dhabi, UAE",N/A,+97128135552,N/A,https://www.yellowpages-uae.com/dai-pai-dong-175691.html,N/A
Dai Shi Dai,"Murjan 1, Jumeirah Beach Residence","Dubai, UAE",N/A,+97144270268,N/A,https://www.yellowpages-uae.com/dai-shi-dai-67690.html,N/A
Daily Restaurant,Qusais,"Dubai, UAE",32645,+97142673708,N/A,https://www.yellowpages-uae.com/daily-restaurant-119209.html,N/A
Dakshin,"Lotus Hotel, Opp Al Ghurair City","Dubai, UAE",N/A,+97142278888,N/A,https://www.yellowpages-uae.com/dakshin-67691.html,N/A
Dalchini,N/A,"Abu Dhabi, UAE",N/A,+97124917977,N/A,https://www.yellowpages-uae.com/dalchini-145482.html,N/A
Dallas Restaurant,"Bin Suloom Bldg, Al Shaab Colony, Deira","Dubai, UAE",83171,+97142691178,N/A,https://www.yellowpages-uae.com/dallas-restaurant-132850.html,N/A
Dar Al Mandi Restaurant Kitchen,"Near Al Safa Supermarket, Electra Street","Abu Dhabi, UAE",N/A,+97126330066,+971568360200,https://www.yellowpages-uae.com/dar-al-mandi-restaurant-kitchen-175513.html,N/A
Dar Ward Restaurant,Al Ittihad Road,"Sharjah, UAE",83874,+97165222411,N/A,https://www.yellowpages-uae.com/dar-ward-restaurant-175594.html,N/A
Dasprakash Rest,"Near Day to Day, Karama","Dubai, UAE",111810,+97143965595,N/A,https://www.yellowpages-uae.com/dasprakash-rest-128989.html,N/A
Day Fresh Restaurant,"Bhnd Al Moosa Tower, Satwa","Dubai, UAE",205,+97143289488,N/A,https://www.yellowpages-uae.com/day-fresh-restaurant-143702.html,N/A
De La Costa,Saadiyat Island,"Abu Dhabi, UAE",N/A,+97126563500,N/A,https://www.yellowpages-uae.com/de-la-costa-175692.html,N/A
De Thali,Madinat Zayed,"Abu Dhabi, UAE",N/A,+97126278644,N/A,https://www.yellowpages-uae.com/de-thali-145638.html,N/A
Dean & Deluca,"Souk Al Bahar, Dubail Mall","Dubai, UAE",N/A,+97144200336,N/A,https://www.yellowpages-uae.com/dean-deluca-175753.html,N/A
Deena Leena Restaurant,"Opp Concorde Cinema, Al Zahra St","Sharjah, UAE",28390,+97165617161,N/A,https://www.yellowpages-uae.com/deena-leena-restaurant-115280.html,N/A
Delhi Cafeteria,Al Qasimia Street,"Sharjah, UAE",N/A,+97165722828,+971502420943,https://www.yellowpages-uae.com/delhi-cafeteria-175575.html,N/A
Delhi Darbar Bombay Restaurant,"Naif Rd, Deira","Dubai, UAE",34496,+97142356161,N/A,https://www.yellowpages-uae.com/delhi-darbar-bombay-restaurant-117373.html,N/A
Delhi Darbar Restaurant LLC,"Zabeel Rd, Karama","Dubai, UAE",34496,+97143347171,N/A,https://www.yellowpages-uae.com/delhi-darbar-restaurant-llc-114029.html,N/A
Delhi Karachi Restaurant,National Paints,"Sharjah, UAE",N/A,+97165343470,N/A,https://www.yellowpages-uae.com/delhi-karachi-restaurant-146791.html,N/A
Delhis deli,"Times Square Centre, Sh Zayed Rd","Dubai, UAE",N/A,+97143234844,N/A,https://www.yellowpages-uae.com/delhis-deli-143560.html,N/A
Delicacy Sweets & Bakers LLC,"Shop 1, Al Nahda 2 building, Baghdad Street","Dubai, UAE",N/A,+97142568664,N/A,https://www.yellowpages-uae.com/delicacy-sweets-bakers-llc-175249.html,N/A
Delicia Restaurant LLC,"Mussafah 10, Sanayya","Abu Dhabi, UAE",N/A,+97125550071,N/A,https://www.yellowpages-uae.com/delicia-restaurant-llc-145483.html,N/A
Delight Calicut LLC,Oasis Center,"Dubai, UAE",N/A,+97143466706,N/A,https://www.yellowpages-uae.com/delight-calicut-llc-145304.html,N/A
Delphine Restaurant & Bar,"The H Dubai, Shk Zayed Road","Dubai, UAE",N/A,+97145018623,N/A,https://www.yellowpages-uae.com/delphine-restaurant-bar-175827.html,N/A
Desi Max Restaurant & Sweets LLC,Near Etisalat Office,"Dubai, UAE",N/A,+9710033747,N/A,https://www.yellowpages-uae.com/desi-max-restaurant-sweets-llc-175308.html,N/A
Desl Hut Restaurant,"Behind Grand City Mall, Al Quoz Industrial Area 4","Dubai, UAE",N/A,+97143383283,+971509098139,https://www.yellowpages-uae.com/desl-hut-restaurant-175547.html,N/A
Dhaba Restaurant,"Behind Sunrise Supermarket, Al Qusais","Dubai, UAE",47351,+97142611685,+971558286907,https://www.yellowpages-uae.com/dhaba-restaurant-175226.html,N/A
Dhe Chef,"Bhnd KM Trdg, Abu Shagara","Sharjah, UAE",N/A,+97165445060,+971544478160,https://www.yellowpages-uae.com/dhe-chef-175649.html,N/A
Diamond City Restaurant LLC,Mussafah 10,"Abu Dhabi, UAE",N/A,+97125553064,N/A,https://www.yellowpages-uae.com/diamond-city-restaurant-llc-145336.html,N/A
Dibba Bakes,Abu Shagara,"Sharjah, UAE",N/A,+97165348066,+971558752215,https://www.yellowpages-uae.com/dibba-bakes-175365.html,N/A
Din Tai Fung,Mall Of The Emirates,"Dubai, UAE",N/A,+97142651288,N/A,https://www.yellowpages-uae.com/din-tai-fung-175628.html,N/A
Dine At Moonvalley BBQ Restaurant,"18B Street, Behind NBF Bank, Bur Dubai","Dubai, UAE",11893,+97143966412,+971569925992,https://www.yellowpages-uae.com/dine-at-moonvalley-bbq-restaurant-179088.html,N/A
Diplomat Restaurant,"Bhnd Sharjah Water & Elec Dept Bldg, Mina Rd","Sharjah, UAE",2998,+97165696944,N/A,https://www.yellowpages-uae.com/diplomat-restaurant-132400.html,N/A
Diwan Al Badia,"Al Badia Golf Club, DFC","Dubai, UAE",N/A,+97147011128,N/A,https://www.yellowpages-uae.com/diwan-al-badia-67692.html,N/A
Docklands,"Dhow Palace Hotel, Bur Dubai","Dubai, UAE",N/A,+97143599992,N/A,https://www.yellowpages-uae.com/docklands-67693.html,N/A
Dome Cafe,"Bin Soughat Centre, Rashidiya","Dubai, UAE",6774,+97142844498,N/A,https://www.yellowpages-uae.com/dome-cafe-145126.html,N/A
Domino's Pizza,"Near Millenium Hotel, Corniche Rd","Sharjah, UAE",N/A,+97165569909,N/A,https://www.yellowpages-uae.com/domino-s-pizza-110778.html,N/A
Doner Deli,Opposite Lulu Hypermarket,"Dubai, UAE",N/A,+97100 6936637,N/A,https://www.yellowpages-uae.com/doner-deli-175352.html,N/A
Doner Force,"X2 Tower, Lake View, Cluster X","Dubai, UAE",N/A,+9710036723,N/A,https://www.yellowpages-uae.com/doner-force-175261.html,N/A
Doner Kebab,"Ground Level, SIT Tower,","Dubai, UAE",N/A,+97143207767,+971561013332,https://www.yellowpages-uae.com/doner-kebab-175258.html,N/A
Dosa Hut Restaurant,Al Manama Hyper Market,"Fujairah, UAE",N/A,+97192233474,+971524377155,https://www.yellowpages-uae.com/dosa-hut-restaurant-170734.html,N/A
Dragon Bao Bao Cafeteria,"G-1, National Cinema Building, Hamdan Street, Al Markaziya","Abu Dhabi, UAE",N/A,+97126742235,+971566699186,https://www.yellowpages-uae.com/dragon-bao-bao-cafeteria-176359.html,N/A
Dukkan Falafel,N/A,"Jebel Ali, UAE",N/A,+97148876220,N/A,https://www.yellowpages-uae.com/dukkan-falafel-148057.html,N/A
Dumpling Queen Restaurant FZCO,Intl City,"Dubai, UAE",39398,+97143674558,N/A,https://www.yellowpages-uae.com/dumpling-queen-restaurant-fzco-137988.html,N/A
Dunes Cuisine,"Muhaisnah, Ghusais","Dubai, UAE",N/A,+97142540022,N/A,https://www.yellowpages-uae.com/dunes-cuisine-145484.html,N/A
DUO,Jumeirah Beach Residence,"Dubai, UAE",N/A,+97144233785,N/A,https://www.yellowpages-uae.com/duo-102775.html,N/A
Dustys,DIFC,"Dubai, UAE",N/A,+97143545435,N/A,https://www.yellowpages-uae.com/dustys-175828.html,N/A
DXB Grill,Millennium Airport Hotel,"Dubai, UAE",N/A,+97147028888,N/A,https://www.yellowpages-uae.com/dxb-grill-175829.html,N/A
Dynasty Chinese Restaurant,"Ramada Hotel, Bur Dubai","Dubai, UAE",N/A,+97143519999,N/A,https://www.yellowpages-uae.com/dynasty-chinese-restaurant-143808.html,N/A
E T Sushi,"Ground Floor, Jumeirah Emirates Tower Hotel, Sheikh Zyed Road","Dubai, UAE",72127,+97143198088,N/A,https://www.yellowpages-uae.com/e-t-sushi-149161.html,N/A
Eagle Restaurant,"Near Abu Hail Pharmacy, Hor Al Anz, Deira","Dubai, UAE",10349,+97142694997,N/A,https://www.yellowpages-uae.com/eagle-restaurant-115739.html,N/A
Eastern Food Restaurant,Al Qusais,"Dubai, UAE",235071,+97142671045,N/A,https://www.yellowpages-uae.com/eastern-food-restaurant-150802.html,N/A
Eat & Treat Restaurant LLC,Ras Al Khor,"Dubai, UAE",29417,+97143334275,N/A,https://www.yellowpages-uae.com/eat-treat-restaurant-llc-142816.html,N/A
